X,usrindex,grp1.var1,grp1.var2,grp1.var3,grp2.var1,grp2.var2,grp2.var3,grp2.var4,grp3.var1,grp3.var2,grp3.var3,grp3.var4,grp3.var5,grp3.var6,grp4.var1,grp4.var2,grp4.var3,grp5.var1,grp5.var2,grp5.var3,grp5.var4,grp6.var1,grp6.var2,grp6.var3,grp7.var1,grp7.var2,grp7.var3,grp7.var4,grp8.var1,grp8.var2,grp8.var3,grp8.var4,grp8.var5,grp8.var6,grp8.var7,grp9.var1,grp9.var2,grp9.var3,grp9.var4,grp9.var5,grp9.var6
7/1/85,0,-0.008081518,0.909811695,3,-0.078408195,2.288,0.237288136,2,-0.1532,-0.3985,0.00927357,74.66666667,9.24,2,-0.007351555,0.032352941,722,1.255980861,47.85,0.033055556,5,145.235,3.7,5.3,0.062851417,6,-1.626154141,1,0.023920266,0.049237171,1.020229265,4,385.25,0.031936931,44,4,0.822958265,0.560846561,0.588,0.078787879,3.0985
8/1/85,0,0.001061571,0.909811695,3,-0.07312253,2.315,0.318181818,3,0.3708,0.719,0.010802469,68.66666667,9.24,3,0.055031447,0.011627907,738,1.204651163,47.8,-0.051388889,5,142.36,3.7,6.9,0.041119329,6,-1.019338767,0.996795982,0.02557377,0.034593209,1.089008766,4.5,390.85,0.030407485,48,3,0.825919073,0.461764706,0.5435,-0.131563246,2.9685
9/1/85,0,-0.017290049,0.909811695,3,-0.088406359,2.14525,0.256637168,4,0.0415,0.3241,0.010769231,66.66666667,11.7,4,0.163917311,0.020467836,723.3333333,1.2,48.8,-0.117697133,5,138.425,4.3,8,0.007860069,5,-0.674012254,0.924503522,0.049079755,0.02638191,1.101820634,5.5,405.9,0.029336887,45,3,0.863930704,0.763578275,0.5245,-0.062265332,2.954
10/1/85,0,-0.032269504,0.909811695,3,-0.099154497,2.195,0.046875,4,-0.1616,-0.3932,0.010752688,66,11.7,5,0.203382573,0.023188406,686.3333333,1.163398693,50.4,-0.131387609,6,134.2425,4.3,8.6,0.055552466,4,-0.466145207,0.949673825,0.042907461,-0.032200358,1.094403237,6.5,406.2,0.028362843,42,3,0.835926331,0.017821782,0.533,-0.228344047,2.759
11/1/85,0,-0.031060336,0.909811695,4,-0.09384858,2.3225,0.006993007,3,0.2369,0.4942,0.010719755,67.33333333,11.7,5,0.149153959,0.008571429,688.6666667,1.265486726,51.45,-0.144086022,7,131.175,4.3,8.3,0.066578739,4,-0.444021187,0.996290844,0.007893906,-0.023038605,1.05799056,6.5,398.25,0.02706715,42,2,0.803969389,-0.023904382,0.502,-0.262660365,2.3525
12/1/85,0,-0.034287734,0.909811695,4,-0.082333471,2.41275,-0.02739726,2,0.3754,0.4184,0.013782542,66.66666667,6.28,5,0.098508073,-0.019830028,703,1.212389381,51.35,-0.133333333,6,127.49,4.3,8.6,0.101277039,5,-0.584782601,1,-0.010499523,0.009168304,1.039109912,6.5,388.7,0.026303716,42,1,0.755697586,-0.160409556,0.491,-0.450331126,1.9635
1/1/86,0,-0.006730429,0.909811695,5,-0.074818298,2.45875,-0.047945205,2,-0.1405,0.7643,0.015313936,64,6.28,5,0.081902506,-0.008450704,729,1.262806236,50.95,-0.081834215,6,124.84,4.3,7.7,0.109260423,5,-0.764622477,1,-0.023361454,-0.009440324,1,6.5,376.1,0.025397023,43,1,0.760995711,-0.079661017,0.5175,-0.381031064,1.808
2/1/86,0,0.008837045,0.915758176,4,-0.098081023,2.59775,-0.006896552,2,-0.5696,-0.8026,0.01221374,60.66666667,6.28,4,0.092785532,-0.019553073,727.3333333,1.277404922,51.1,-0.072310406,6,121.2625,4.3,7.8,0.20298998,5,-0.899467913,1,-0.054347826,-0.049776643,1.013614704,6,369.55,0.024939701,41,1,0.698377265,-0.579476861,0.376,-0.689110271,1.389
3/1/86,0,0.029084381,0.915758176,4,-0.141216504,2.77925,0.056338028,2,-0.2526,-0.2619,0.01065449,54.66666667,5.58,3,0.068400771,-0.056179775,780.3333333,1.247139588,51,-0.118287417,6,119.495,4.2,9.5,0.312060633,5,-0.93042169,1,-0.070483226,0.000653595,1.042205582,6,377.45,0.023461149,40,1,0.645059289,-0.701086957,0.187,-0.721721722,0.8695
4/1/86,0,0.052400147,0.915758176,5,-0.17662116,2.8445,0.044776119,1,-0.0818,0.5578,0.013677812,52.66666667,5.58,3,0.069489894,-0.058823529,821.6666667,1.28,50.35,-0.142978775,6,116.665,4.2,10.8,0.240754399,6,-0.944054874,0.953492851,-0.056186675,-0.03138732,1.050374404,5,385.8,0.022449971,41,1,0.697906755,-0.568093385,0.1935,-0.57199524,0.9565
